Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00096	6	5977376	231962	220611	0.03880666031382332	0.036907666507845584	0.997481960933243	0.8550979270518373	0.9896562783984605	0.9324334753349386	0.9932290265934727	0.9451691129546905
HG00101	6	5976840	237008	224183	0.03965439931468803	0.037508616593383795	0.9974571236186478	0.8347879532882606	0.9898024388945098	0.9268263957896287	0.9928846435011452	0.9388574603495302
HG00102	6	5977791	265419	251716	0.04440084974533235	0.042108531395627584	0.9975923124454009	0.842733334145955	0.9897841760409573	0.9302233171739649	0.9921502783996327	0.9420416191689577
HG00103	6	5977588	215734	204146	0.03609047662702749	0.034151902071537885	0.996992678970672	0.8390219888414834	0.987732717563862	0.9285947605670608	0.990961308055536	0.9369694978369202
HG00105	6	5977285	177852	168942	0.029754646131144827	0.028264002803948616	0.99728275404645	0.849522091974752	0.9902160760587727	0.9335463002833996	0.9930851288105579	0.9372688896887987
HG00106	6	5977220	226576	215643	0.037906585335657716	0.03607747414349815	0.9981014580801945	0.8532889612688522	0.991214718684077	0.9336358972335136	0.994503862150921	0.9446975288219276
HG00107	6	5978455	239202	227684	0.04001067165346231	0.03808408694219493	0.9980862223762345	0.8523748743991527	0.9904618734124722	0.9349184451838026	0.994455357708637	0.9429734731647131
HG00108	6	5978305	106003	100932	0.01773128002000567	0.016883046281512902	0.9971875391863568	0.8569951023636418	0.9883284220257699	0.9359877591512115	0.9915528649866253	0.9440887515178276
HG00109	6	5976951	193899	184414	0.03244112257236173	0.03085419304926542	0.9975608310949597	0.8551633605600933	0.9908829329798584	0.932966982221196	0.993710099621476	0.942379239307567
HG00111	6	5978625	165418	157244	0.027668234752974138	0.026301030755399444	0.9971999039967084	0.8510846581564727	0.9886757310486124	0.933056719993156	0.9917638201273071	0.9453606411398041
HG00112	6	5978315	129493	122617	0.021660451147187794	0.020510294288608077	0.9967492351141445	0.8406627631742868	0.9881631889211191	0.9266481600503234	0.9905466502260584	0.9469601865136298
HG00113	6	5978146	231804	221203	0.03877523232119122	0.0370019400663684	0.9978477091146258	0.860249832701316	0.9923027581783195	0.9366228439370055	0.9944879605454018	0.9500511770726714
HG00114	6	5978720	84431	80293	0.014121919072978831	0.013429797682447078	0.994905630736776	0.8586409557100603	0.984175157164535	0.936340979174587	0.9851910617479837	0.9460961378160601
HG00115	6	5977781	209685	200508	0.035077397448986504	0.03354221240289666	0.9985156854710194	0.8672388909988606	0.9925980320164488	0.9377736726874658	0.9962652705061082	0.9530699156725048
HG00116	6	5978867	88644	84166	0.0148262204193537	0.01407724908414922	0.9937428170093219	0.8550836550836551	0.9835442162760146	0.93462508507146	0.9830479813992813	0.9463774865278425
HG00117	6	5978294	105125	99980	0.017584448004731783	0.016723834592276658	0.9981416957026713	0.8473674266280388	0.9894277177660308	0.9356011121160352	0.9936119932058194	0.9390849102906691
HG00118	6	5976612	238999	227829	0.039989043960022834	0.03812009211908018	0.9984245386148801	0.8592191922130822	0.9922518408292069	0.9342057761732852	0.9954646441431089	0.9485211163977044
HG00119	6	5977060	243144	231282	0.040679531408418186	0.03869494366795716	0.9979524915275512	0.8520595041322314	0.9903862961020801	0.9320306547095716	0.9937693743156336	0.9485112997728088
HG00120	6	5976920	211211	201432	0.035337765939647846	0.03370163897124271	0.9980003783068068	0.8601939681381491	0.9900889379759344	0.9367121782136365	0.9942544892293635	0.9459346884371876
HG00121	6	5978357	236507	225059	0.039560534775691714	0.037645627385584364	0.9970250266624969	0.8556708056755762	0.9881351963156663	0.9342811199110322	0.9910333722729139	0.9475535816761895
HG00122	6	5976895	218601	208349	0.03657434169414052	0.03485906980129315	0.9977732775776066	0.8611433041664253	0.9892406489409644	0.935693908925738	0.9935150674399559	0.9458433199579889
HG00125	6	5977351	203997	193394	0.034128328752987734	0.032354466050262064	0.9963171047934009	0.8457801681308456	0.9881133622204005	0.9309221788175394	0.9897563676633444	0.9400590496351178
HG00126	6	5977977	273183	259597	0.045698235372936366	0.04342556018532691	0.9980513581548234	0.8478502901812152	0.9903703703703703	0.9322339102497668	0.993725359542451	0.9435023415948506
HG00127	6	5978260	234886	223577	0.039290027533094914	0.03739833998521309	0.9972190479234758	0.8523030286019031	0.9893492661384595	0.9351693645083933	0.9921743534447549	0.9465168874419067
HG00128	6	5977221	219075	208034	0.036651647981562	0.034804468497985935	0.9975927766165233	0.8451451436450013	0.988909478885894	0.9324061396555452	0.9923279957768784	0.9429481687727564
HG00129	6	5978360	305710	289869	0.05113609752507377	0.048486374189577075	0.9976984263373677	0.8417223269736772	0.988324302218587	0.9289183752771492	0.9924263357532216	0.9459448880538595
HG00130	6	5977795	206042	196001	0.03446789326164581	0.03278817691138622	0.997080118259787	0.8543363830053892	0.9880457538153463	0.9345733454589131	0.9910407618078398	0.9450909829642743
HG00131	6	5977471	272848	259348	0.04564606001434386	0.04338757979754314	0.9981155433287483	0.8469936841600652	0.9902742745472312	0.931214147299257	0.9942321760171066	0.9490613702687399
HG00132	6	5978240	190407	181029	0.03185000936730543	0.030281320254790706	0.9974181410615643	0.8524236862929975	0.9894486263913016	0.933624339615572	0.9924723594448365	0.9423695578908667
HG00135	6	5977286	257697	244309	0.04311271035048348	0.040872897833565264	0.9976190823972773	0.8416874945052185	0.9896486368275259	0.9291865638137219	0.9929914504585933	0.9427341326790426
HG00136	6	5977942	212677	201662	0.035576959428512356	0.03373435205627622	0.9960412850185425	0.8477658677586415	0.9876848724816584	0.9312790862833892	0.9890924419932201	0.9408713980641762
HG00137	6	5978697	299581	284318	0.050108075388332944	0.04755517799279676	0.9963190568759014	0.8464977645305514	0.9889382367590902	0.9315973708435699	0.9901388199666629	0.9446878531353462
HG00138	6	5977213	208321	198062	0.034852530769775146	0.03313617901854928	0.9972171620545399	0.8529929982074186	0.9900328295525125	0.9339832128741309	0.9926010447681364	0.9404129793510324
HG00140	6	5977169	259942	247031	0.04348915013110722	0.04132909743726503	0.997788517867604	0.850401260400768	0.9899140917936304	0.9316149323123205	0.9935574793638011	0.9449302283436027
HG00141	6	5976655	264540	251692	0.0442622169089566	0.042112519461136706	0.9984163155330066	0.8508691450450782	0.9906116314024743	0.9328642018292111	0.9950644482911546	0.9459865297559898
HG00142	6	5977129	345927	327737	0.05787511027451474	0.054831843180898385	0.9968651169488615	0.8441736774169925	0.9901676136869667	0.9286281834317084	0.9919751293553211	0.9397971259509721
HG00143	6	5977315	275319	261846	0.04606064763192169	0.043806625550100675	0.9978732072449057	0.8531271636279714	0.9908531021897811	0.9321666548407697	0.994324447911343	0.9456005921023989
HG00145	6	5977477	179293	170924	0.02999476200410307	0.028594672969883446	0.9976604489408789	0.8594897077875342	0.988968675200333	0.9371584699453552	0.9935933437337493	0.9439441096616118
HG00146	6	5977670	570499	540599	0.09543835641646327	0.09043640749656638	0.9972517680292345	0.8422641763570242	0.9904474501204924	0.9273699405849808	0.9920872583044125	0.9463956021159631
HG00148	6	5977422	319993	304851	0.05353361365484987	0.051000414559989236	0.9980620039475488	0.8582936034962256	0.9902158329135506	0.9339441555252996	0.9940526860692511	0.9490817255018477
HG00149	6	5977516	249024	235608	0.041660114335118466	0.039415703780633964	0.9977731172545281	0.8359781494504924	0.9894930198383541	0.9281898478237736	0.9932935571897692	0.935078461324816
HG00150	6	5978064	214577	203194	0.03589406202409342	0.033989933864876656	0.9959909282474374	0.8433184539360733	0.9884263160851733	0.9304267316161751	0.9891780198227857	0.9362211638240694
HG00151	6	5978745	262990	250174	0.043987492358346106	0.041843898677732534	0.9967221854018384	0.8538058551617874	0.989338722040276	0.934655137472134	0.991255939092106	0.9447697631088634
HG00152	6	5978588	150969	143526	0.025251614595285708	0.02400667180946404	0.9963188482533439	0.8539045529819128	0.9863612867310827	0.9347913512490538	0.9891626597573432	0.9436962641710416
HG00154	6	5978762	250173	237430	0.04184361244016738	0.03971223474023552	0.9966487935656837	0.84645832255394	0.9903533883422743	0.9319165907019143	0.9917553272104513	0.940445459737293
HG00155	6	5977322	208032	197754	0.034803545801949436	0.03308404666839096	0.997382891221287	0.8473385357188175	0.9901758160867472	0.9324864657487532	0.9926235600148644	0.9473684210526315
HG00156	6	5977352	212113	201180	0.035486114921791455	0.03365704412254791	0.9975950929086765	0.8450844842452387	0.9886230454792327	0.9301364686122192	0.9927144786409837	0.9407812414993744
HG00157	6	5976720	281391	267036	0.0470811749588403	0.04467935590089547	0.9975566218940253	0.8474920005408085	0.9908163715837344	0.9297222415505386	0.9934623258271148	0.9431171068944504
HG00158	6	5977069	231449	219864	0.0387228255186614	0.036784584551391324	0.9970038510059093	0.8522003158869342	0.9910707146093771	0.9312387109777747	0.992656854659646	0.9437055837563452
HG00159	6	5977138	244145	232118	0.04084647200717133	0.03883430498007575	0.9975060979423354	0.8518745997935261	0.9912364643666582	0.9328542079443182	0.9934317804294488	0.9428249778437807
HG00231	6	5978061	230916	219026	0.038627240504906186	0.03663830128197086	0.9966493203497944	0.8472097427461606	0.9896562698917887	0.9307281043327771	0.9907693302510548	0.9416782334384858
HG00232	6	5982723	215576	200829	0.036033090617767195	0.033568159515324374	0.9766830415830623	0.8379200196572271	0.9577735675737743	0.932133718530747	0.937507517311294	0.9209981505506942
HG00233	6	5977155	187347	178198	0.03134384167718589	0.029813180350852536	0.9965520080693304	0.8579553057674294	0.9903305377405032	0.9350271846722871	0.9912838451577991	0.9394128474713755
HG00234	6	5977625	200425	190021	0.033529202651554756	0.03178871207210222	0.9973361849203243	0.8457636996550475	0.9901866401664544	0.9309484341300822	0.9930278147654978	0.9337569918294433
HG00237	6	5977110	209073	198001	0.03497894467393105	0.03312654443368116	0.9977142021193918	0.8410487942526808	0.9890161389531649	0.9288869972334539	0.9930483016965025	0.9360722998447549
HG00238	6	5977048	221599	210809	0.03707499086505579	0.03526975189089999	0.9976935262067645	0.8569449157335143	0.9898546293465269	0.9338335329243753	0.9938346505755419	0.9405736622471079
HG00239	6	5977992	217568	207697	0.03639482956818945	0.03474360621426058	0.9983650220194615	0.859781582850209	0.9921191838497248	0.9373437100248413	0.9954039335391446	0.9488655429648176
HG00242	6	5978369	217389	206730	0.03636259320895047	0.03457966545725097	0.9976189033101573	0.8527401809567386	0.9887538439010104	0.93340030298366	0.9928680678478751	0.9440731523167697
HG00243	6	5977756	192959	183038	0.032279504215294165	0.030619851328826404	0.9978440425678536	0.8460605663345568	0.9905784688364738	0.9298741330593373	0.9946252095012426	0.9383386382075766
HG00244	6	5977377	126155	120241	0.02110541128658942	0.020116014097822505	0.9980937972768532	0.8603810527901198	0.9898110594519735	0.9359740093918028	0.9942563745539987	0.9441849492804907
HG00245	6	5976709	226232	214875	0.03785226953495645	0.03595205990453944	0.9973732664403115	0.8504771408092421	0.989667675363267	0.9315279213044404	0.9929280498810403	0.9424195223260644
HG00246	6	5977503	258233	245348	0.04320081478838237	0.04104523243233839	0.996101804827933	0.8518402799475099	0.9886028065893838	0.9326956533604416	0.9897769516728625	0.9465370595382746
HG00255	6	5977404	183329	174191	0.030670337825584485	0.029141580525592715	0.9976897176897177	0.8483981591712717	0.9882391482391483	0.9327792952480579	0.9925579461594429	0.9432180601588394
HG00262	6	5976535	220424	208561	0.0368815710106274	0.03489664161591959	0.997666328327651	0.83938822784628	0.9888926287445304	0.9282727668986003	0.9930212765957447	0.9329946014607812
HG00263	6	5978434	311164	295950	0.05204774360643607	0.04950293003150993	0.9970258688711655	0.8518283088273605	0.9907229369437232	0.9333712142735383	0.9920869945142968	0.9469665390882565
HG00264	6	5977425	161734	152652	0.027057470399043066	0.025538087052535165	0.9975661338153806	0.8327732405923958	0.9887315247173234	0.9271627171501987	0.9931264271401277	0.9232792792792793
HG00265	6	5978397	332611	316488	0.05563548222040122	0.05293860544891883	0.9976194417962082	0.8515597340781244	0.9899207288640195	0.9335591300770879	0.9929476520841695	0.948107940979439
HG01789	6	5977491	347162	328289	0.05807821375222481	0.054920868973286616	0.9978846704713219	0.8354997058390939	0.9900960489744222	0.9265218859007539	0.9934309760629577	0.9355862894378137
HG01790	6	5978616	205312	194823	0.03434105819808464	0.03258663878061411	0.9976551377606565	0.8461622176272136	0.9906031859674244	0.931592666608741	0.9936829036734097	0.9367277856135402
HG01791	6	5978197	278130	264475	0.04652406068251013	0.04423992718874938	0.9976960273717467	0.8518676063138775	0.9912299696838458	0.9318476138933451	0.9936437268679933	0.9468012493019216
HG02215	6	5978716	258899	246084	0.04330344508754053	0.04116000826933409	0.9976506001982306	0.847973782063402	0.9906132521506492	0.9319575326118267	0.9933993886682122	0.9466631402627171
