Sample	minDP	N_variants_by_WGS	N_variants_by_ATAC	N_overlap_variants_by_ATAC	Recovered_percentage	Correctly_performance_percentage	Sens_AA	Sens_AB	Sens_BB	Spec_AA	Spec_AB	Spec_BB
HG00096	9	6569664	130161	122495	0.01981242876348014	0.01864555021383133	0.9488157637835484	0.9146510915899296	0.9806317185206231	0.9598729792147807	0.9874399328773741	0.8278564004157671
HG00101	9	6569628	115947	109087	0.01764894450644694	0.01660474535240047	0.9489183784766406	0.9111808297722724	0.9838045715523779	0.9595748592055349	0.9895144946691339	0.8233081002674403
HG00102	9	6569573	134451	126571	0.020465713677281613	0.01926624454892274	0.9485810540741164	0.9145488376475022	0.9798559839577067	0.961121235789291	0.9875378315826954	0.8271139493729323
HG00103	9	6569561	116478	109163	0.017729951818698388	0.016616483201845604	0.9464524765729585	0.9056644527242291	0.978978503142661	0.95823502836203	0.9855447173580915	0.8172758939988536
HG00105	9	6569555	110468	103585	0.016815141969281026	0.015767430214070816	0.9481973301566168	0.9040990824645627	0.9811362261453006	0.9578120299421331	0.9871285900378388	0.8214762628355666
HG00106	9	6569584	131181	123391	0.019967930998370673	0.018782163375945873	0.9479716371096014	0.911953143676787	0.982518115942029	0.9596117673613723	0.9891098607617912	0.8293130471348293
HG00107	9	6569493	133667	125712	0.02034662340000971	0.019135723259009484	0.948179171268341	0.9120654881955155	0.9819274345213522	0.9612912607241529	0.9892171496216995	0.8221129843695995
HG00108	9	6569521	62790	59149	0.009557774455702326	0.009003548356113026	0.9480671132690062	0.9163392767200564	0.9814315951510487	0.9624407287247317	0.9861239091549677	0.8303622303622303
HG00109	9	6569580	113066	106251	0.017210537051074802	0.01617318002064059	0.9485320831098731	0.9111147002611106	0.9824997239704096	0.9590847866776288	0.9889843384759234	0.8210841983852365
HG00111	9	6569505	83603	78625	0.012725920750497945	0.011968177206654078	0.948093122280848	0.9136407876020064	0.9794545587482635	0.960698792355493	0.9857033237752918	0.8270667407544607
HG00112	9	6569515	59169	55733	0.009006600943905296	0.008483579076994268	0.9480468365640067	0.9164808325369014	0.9799918748730448	0.9598844352937269	0.9838691290469677	0.8381688672689368
HG00113	9	6569654	128732	121210	0.019594943660655492	0.01844998229739344	0.9480779056836284	0.9157240095979629	0.9818249953157204	0.9625431021329834	0.9875108916642463	0.8279022001026978
HG00114	9	6569509	50650	47645	0.00770986081303793	0.007252444589085729	0.9471915689793424	0.9147802094437826	0.9776838148931172	0.962181451456499	0.9804422340211035	0.8332332332332333
HG00115	9	6569620	120965	114059	0.018412784909933907	0.01736158255728642	0.9491310353689486	0.9182667625012835	0.9844564832160397	0.961767578125	0.9919858018357782	0.8286737129219229
HG00116	9	6569448	51293	48212	0.00780780972769706	0.007338820552350822	0.9449201660247541	0.917952531449464	0.9764649946511351	0.9624466788543571	0.9774976903787779	0.8312253364363048
HG00117	9	6569502	63091	59550	0.009603619878645291	0.009064614030104565	0.9532517238236992	0.9123708717113633	0.9821275786671737	0.9626675664897696	0.9896776330315743	0.8347608274078863
HG00118	9	6569777	134488	126646	0.020470710040843092	0.019277062219920097	0.9487716542304839	0.915471370072976	0.9835633853977479	0.9608467011357108	0.9900789232786561	0.8273623099839584
HG00119	9	6569540	132483	124508	0.020166252127241786	0.018952316296118144	0.9474624156456312	0.9112072225373417	0.9824778113276603	0.9596133317518681	0.9889954853273137	0.8243445549115197
HG00120	9	6569558	127629	119735	0.019427334380790914	0.01822573147234563	0.9471153119092628	0.908123386997665	0.9810749795859551	0.9598455125061305	0.9886278497270684	0.8167059858450958
HG00121	9	6569512	128730	121233	0.01959506276874142	0.018453882114835927	0.947610321727898	0.9176401583655115	0.9809268154846001	0.9621924995043389	0.9876114574291801	0.8284543791265612
HG00122	9	6569690	125149	117801	0.01904945286611697	0.017930983044862087	0.9477850081341509	0.9183270375033948	0.9787624288058693	0.9619598005906075	0.9874691374412616	0.8278086218158066
HG00125	9	6569583	114854	107664	0.01748269258490227	0.016388254779641266	0.9453960909724939	0.9087863601699532	0.9779856338173738	0.9587365660956718	0.9830593365152319	0.8248703308198579
HG00126	9	6569564	152680	143303	0.023240507284806117	0.021813167510050895	0.9486181591565238	0.9065288579615227	0.9805501528202278	0.9580491438994001	0.9890141788545271	0.8222821383396578
HG00127	9	6569571	142550	133793	0.02169852491129177	0.020365561160690705	0.9472180288979944	0.9077931405997486	0.9808031588675123	0.9593469298604854	0.9869445325654603	0.8245576861955716
HG00128	9	6569547	124655	116853	0.018974672074041025	0.017787071163354186	0.9462487895602453	0.905750633500543	0.9793040818277411	0.9587603177075222	0.986426741009828	0.821729365524986
HG00129	9	6569583	154805	145249	0.023563900478919285	0.02210931804956266	0.9469765482724017	0.9074328903859188	0.979997637516242	0.9575342294153754	0.9864916158706768	0.8244393653317433
HG00130	9	6569511	127365	119350	0.01938728772963467	0.018167257806555162	0.9452880175611234	0.9080676352456984	0.9791189931350115	0.9582278286757823	0.9852320107599193	0.8206337155871659
