N_peaks_macs2	N_peaks_Genrich	N_peaks_macs2_in_Genrich	N_peaks_Genrich_in_macs2	bp_macs2	bp_Genrich	bp_overlap
115410	25607	25962	25567	42183418	14685268	14061581
126145	28438	29016	28394	46687733	16492914	15706650
98837	17555	17648	17508	33891937	9528519	9158875
115630	20117	20290	20096	40774656	11452141	11072247
102477	22428	22719	22377	36593171	12399919	11859032
121584	28982	29466	28921	42277584	15601272	14825934
117762	26288	26834	26231	43332112	15390762	14651439
117687	28113	28322	28073	43396532	15430380	14815346
80705	14685	15058	14652	26288823	7940358	7531403
106403	24174	24674	24140	38356343	13655452	12996377
82303	13653	13748	13622	28578933	7599202	7332276
62240	6578	6603	6543	20136447	3534670	3375297
112748	23623	24009	23584	41912754	13945493	13343512
67240	12902	13228	12848	21817791	7016997	6601231
109848	23933	24387	23899	41359198	14145313	13519073
64256	11226	11558	11191	20618021	6290108	5901996
81158	19844	20523	19782	27619442	11465150	10621419
123716	26023	26254	25995	45166431	14411076	13877088
120364	24786	25065	24749	43924710	14058606	13498261
118945	27756	28302	27714	43656476	15626027	14875956
112370	22283	22609	22245	40838219	12753893	12243316
114689	24201	24590	24159	41310805	13587949	12986582
108129	22857	23194	22829	38712079	12525765	12028665
133056	30171	30591	30100	49740078	17580464	16799926
124659	31526	31849	31473	46943205	17691300	16936001
112165	22426	22730	22387	40845826	13138123	12575587
111532	22880	22931	22842	42134929	12893103	12498131
117050	28020	28664	27979	43579591	16279296	15469105
124344	22156	22261	22119	44837582	12534406	12151717
106908	27950	28424	27899	39240372	15466725	14686100
112858	21004	21025	20970	39211866	10768391	10475041
110104	25530	25875	25483	40128736	14193383	13582727
125204	22297	22452	22278	44142006	12295701	11906191
113464	27380	27908	27331	41254690	15263369	14539046
121776	24521	24723	24490	44316119	13625243	13153016
130415	26263	26445	26237	47211048	14538617	14048884
155343	26582	26666	26564	53971222	14335663	13919938
127542	27179	27580	27134	46585611	15903447	15202257
101532	25144	25874	25106	36421707	14268274	13449748
132233	21299	21099	21260	48718658	11116783	10881470
123609	24769	24881	24748	46628967	13748875	13331240
126285	28089	28225	28064	44626723	14471781	13941655
119425	30773	31413	30711	43220743	16832891	15933559
131128	27850	28136	27820	48104022	15546638	14957293
111185	23455	23747	23421	37302472	12033781	11569713
126468	29855	30103	29807	47105548	16749475	16085333
107088	22942	23213	22912	38420093	12656820	12172137
137721	29431	29659	29385	46598723	15093351	14459172
122296	26174	26292	26144	45694015	15127457	14608598
113002	25526	25907	25492	41715587	14453442	13857816
122855	27436	27714	27407	44213513	15014986	14428149
118813	27059	27291	27017	43207881	14674864	14095761
122649	31985	32538	31903	46022391	17836119	16926501
124505	30527	31035	30452	44233161	16769135	15908416
112526	30621	31061	30564	42205255	16909640	16080555
108853	26316	26646	26264	38486388	13937965	13332604
117603	31343	31812	31271	44481407	17421084	16580695
116757	28640	29151	28592	43106484	15952967	15202989
120973	29129	29613	29076	45375593	16548009	15764128
110724	30827	31560	30737	42638784	17993048	16882446
99641	21662	22353	21614	33221196	11834685	11097472
123964	29687	30291	29641	45903573	16934422	16096100
129656	23139	23303	23116	46711091	12849468	12422158
101774	27651	28256	27584	38550809	15932844	15049770
106353	24422	24823	24389	39093933	13867012	13271718
104020	26240	26849	26181	38594569	14955007	14138900
142557	33149	33263	33063	49186218	17141409	16398904
137208	26482	26664	26461	49928786	14960989	14479599
116194	34117	34621	33976	39521537	16968785	15893308
130726	28740	28777	28696	49952897	16122558	15591493
133725	23437	23464	23416	46510834	12677071	12300406
108044	25826	26273	25783	39165342	14113760	13438610
130120	27130	27362	27091	47883581	15442981	14879386
119896	25081	25317	25047	43437436	14094783	13551105
